Command,Type,Value,Text,Description,English,
/-action/addmarker,i,1-100,,"Add X-Live! marker",,
/-action/clearalert,i,0-1,,"Clear X-Live! alert status, 0 no action, 1 clear alert",,
/-action/clearsolo,i,0-1,,"Clear all solo buttons, 0 no action, 1 clear solo",,
/-action/delmarker,i,1-100,,"Delete X-Live! sdcard record session",,
/-action/delsession,i,1-100,,"Delete X-Live! sdcard record session",,
/-action/formatcard,i,,,"Format active sdcard",,
/-action/gocue,i,0-499,0-499,"Load a cue fro the list",,
/-action/goscene,i,0-99,0-99,"Load a scene from the list",,
/-action/gosnippet,i,0-99,0-99,"Load a snippet from the list",,
/-action/initall,i,0-1,,"Initialize X32 Console, 0 (default) no action, 1 initialize",,
/-action/initlib,i,0-1,,"Initialize X32 libraries, 0 (default) no action, 1 initialize",,
/-action/initshow,i,0-1,,"Initialize X32 show data, 0 (default) no action, 1 initialize",,
/-action/newscreen,i,0-1,,"Renew LCD screen display, 0 no, 1 yes",,
/-action/playtrack,i,0-1,"-1, 1","USB Player control (-1 prev track, 0 not playing, next track",,
/-action/recselect,i,0-n,0-n,"Select and execute record <int> in the current directory",,
/-action/savemarker,i,1-100,,"Save X-Live! sdcard position at marker",,
/-action/savestate,i,0-1,,"Save X32/M32 state, 0 (default) no action, 1 save state (before power off)",,
/-action/selmarker,i,1-100,,"Select X-Live! marker",,
/-action/selsession,i,1-100,,"Select X-Live! sdcard record session",,
/-action/setclock,s,,,"Set clock value",,
/-action/setip,i,0-1,,"0 by default; changing to 1 resets Network parameters",,
/-action/setposition,i,0-86399999,,"Set X-Live! sdcard position, in milliseconds",,
/-action/setrtasrc,i,0-72,0-72,"Selects the source used for RTA display",,
/-action/setsrate,i,0-1,,"Select sampling rate, 0 48khz, 1 44.1khz",,
/-action/undopt,i,,,"Creates checkpoint to get back to upon issuing an undo command",,
/-ha/00-39/index,i,000-127,,"(Read only) returns the actual headamp used as source",,
/-insert/fx1L,i,,,"Channel the FX1 L input is inserted into",,
/-insert/fx1R,i,,,"Channel the FX1 R input is inserted into",,
/-insert/fx2L,i,,,"Channel the FX2 L input is inserted into",,
/-insert/fx2R,i,,,"Channel the FX2 R input is inserted into",,
/-insert/fx3L,i,,,"Channel the FX3 L input is inserted into",,
/-insert/fx3R,i,,,"Channel the FX3 R input is inserted into",,
/-insert/fx4L,i,,,"Channel the FX4 L input is inserted into",,
/-insert/fx4R,i,,,"Channel the FX4 R input is inserted into",,
/-insert/aux1,i,,,"Channel the aux input [1…6] is inserted into",,
/-libs/ch/001/flags,i,,,"Lists scope of channel preset (bitwise integer)",,
